,lat,Max Temp,Wind Speed,Humidity,Cloudiness
315,64.56,68.0,8.95,32,40
316,37.61,59.0,4.7,82,90
317,4.89,80.59,8.75,77,100
318,-26.98,62.59,7.2,70,0
319,37.04,89.6,4.7,25,20
320,43.65,67.99,3.65,44,56
321,50.7,51.8,4.7,93,90
322,-15.19,66.55,13.04,79,0
323,37.57,89.6,4.7,25,20
324,6.33,80.6,5.82,88,75
325,50.74,72.31,17.58,85,100
326,49.65,88.0,23.04,61,0
327,-34.72,62.95,27.18,61,67
328,29.7,82.99,4.9,88,1
329,-8.26,91.39,6.13,31,27
330,-13.13,73.57,4.97,52,90
331,13.21,94.99,3.06,30,27
332,-43.03,57.0,10.29,66,0
333,30.69,93.2,5.82,41,20
334,13.81,107.41,8.52,20,17
335,37.5,104.0,6.93,12,0
336,-35.17,57.19,11.05,77,0
337,15.17,86.35,5.28,30,99
338,65.58,46.03,5.7,97,100
339,63.75,48.2,5.82,76,20
340,37.19,89.6,9.17,40,0
341,-41.87,39.2,13.87,93,90
342,70.0,66.55,2.33,47,1
343,33.19,82.99,4.47,88,1
344,41.42,84.55,10.04,39,74
345,54.47,66.0,14.99,63,75
346,4.8,83.65,13.29,82,97
347,35.73,77.0,10.29,94,75
348,8.0,81.0,4.0,86,100
349,-13.71,71.6,5.82,30,90
350,35.3,92.47,21.63,24,0
351,37.73,68.0,10.29,56,20
352,12.49,93.2,4.7,56,75
353,23.13,62.59,17.07,62,0
354,-20.55,79.87,6.58,50,14
355,43.33,55.4,13.42,87,90
356,-9.65,64.75,8.79,88,32
357,38.42,82.99,7.94,71,96
358,-2.68,73.4,11.41,78,75
359,-31.67,51.07,7.27,29,0
360,35.74,80.01,9.17,94,75
361,-8.83,77.0,11.41,69,0
362,13.98,101.11,5.64,19,24
363,-13.65,41.0,3.69,52,75
364,31.21,78.61,13.18,79,0
365,-10.16,71.6,5.82,68,20
366,-17.73,78.43,7.56,75,26
367,-2.54,74.47,1.07,91,2
368,51.08,82.99,8.05,30,0
369,-8.47,35.6,6.93,331,75
370,59.36,59.17,11.21,79,100
371,-0.09,86.17,4.23,47,0
372,45.55,107.01,1.01,36,0
373,9.49,89.59,24.56,40,85
374,24.82,74.29,4.5,97,100
375,50.2,60.01,11.41,93,90
376,52.37,43.51,0.87,83,0
377,33.72,66.55,3.11,98,100
378,22.9,83.11,11.5,75,53
379,-34.05,62.95,4.25,35,0
380,-10.68,73.4,11.41,46,40
381,7.73,84.37,5.17,74,31
382,-0.72,82.4,16.11,69,40
383,3.04,75.73,2.89,85,0
384,42.27,69.07,4.09,67,100
385,62.16,50.0,12.75,100,100
386,17.54,73.93,3.53,99,100
387,24.47,111.2,10.29,47,0
